Event_ID,Optimized_Time
100,846.0
101,857.0
102,811.0
103,817.0
104,824.0
105,832.0
106,839.0
107,489.0
108,498.0
109,510.0
110,525.0
111,788.0
112,800.0
113,807.0
114,818.0
115,588.0
116,593.0
117,602.0
118,617.0
119,616.0
120,627.0
121,635.0
122,647.0
123,618.0
124,626.0
125,633.0
126,568.0
127,577.0
128,592.0
129,620.0
130,632.0
131,489.0
132,494.0
133,503.0
134,751.0
135,757.0
136,764.0
137,772.0
138,779.0
139,496.0
140,505.0
141,517.0
142,532.0
143,754.0
144,760.0
145,767.0
146,775.0
147,782.0
148,502.0
149,511.0
150,523.0
151,538.0
152,504.0
153,509.0
154,518.0
155,797.0
156,808.0
157,812.0
158,819.0
159,828.0
160,662.0
161,668.0
162,675.0
163,683.0
164,690.0
165,509.0
166,518.0
167,530.0
168,545.0
169,594.0
170,599.0
171,608.0
172,623.0
173,635.0
174,517.0
175,523.0
176,530.0
177,538.0
178,545.0
179,557.0
180,706.0
181,715.0
182,727.0
183,742.0
184,751.0
185,889.0
186,897.0
187,908.0
188,914.0
189,574.0
190,583.0
191,598.0
192,610.0
193,718.0
194,730.0
195,737.0
196,748.0
197,595.0
198,607.0
199,616.0
200,625.0
201,934.0
202,945.0
203,953.0
204,965.0
205,972.0
206,983.0
207,551.0
208,556.0
209,565.0
210,876.0
211,883.0
212,895.0
213,903.0
214,914.0
215,920.0
216,573.0
217,584.0
218,590.0
219,537.0
220,543.0
221,550.0
222,558.0
223,565.0
224,577.0
225,585.0
226,596.0
227,602.0
228,713.0
229,722.0
230,734.0
231,749.0
232,758.0
233,572.0
234,577.0
235,586.0
236,601.0
237,613.0
238,622.0
239,631.0
240,529.0
241,538.0
242,550.0
243,565.0
244,574.0
245,579.0
246,588.0
247,530.0
248,536.0
249,543.0
250,551.0
251,558.0
252,570.0
253,578.0
254,710.0
255,721.0
256,725.0
257,732.0
258,741.0
259,554.0
260,559.0
261,568.0
262,651.0
263,660.0
264,672.0
265,687.0
266,696.0
267,701.0
268,710.0
269,602.0
270,608.0
271,615.0
272,623.0
273,630.0
274,642.0
275,650.0
276,700.0
277,709.0
278,721.0
279,736.0
280,745.0
281,750.0
282,759.0
283,724.0
284,730.0
285,737.0
286,745.0
287,752.0
288,764.0
289,772.0
290,703.0
291,712.0
292,724.0
293,739.0
294,748.0
295,753.0
296,762.0
297,587.0
298,596.0
299,611.0
300,623.0
301,632.0
302,641.0
303,613.0
304,624.0
305,632.0
306,644.0
307,651.0
308,662.0
309,666.0
310,673.0
311,682.0
312,585.0
313,590.0
314,599.0
315,614.0
316,626.0
317,635.0
318,644.0
319,547.0
320,555.0
321,562.0
322,574.0
323,582.0
324,593.0
325,599.0
326,557.0
327,562.0
328,571.0
329,705.0
330,716.0
331,720.0
332,727.0
333,736.0
334,607.0
335,619.0
336,628.0
337,637.0
338,594.0
339,606.0
340,613.0
341,624.0
342,628.0
343,635.0
344,644.0
345,846.0
346,852.0
347,859.0
348,867.0
349,874.0
350,886.0
351,894.0
20000,839.0
20001,846.0
20002,801.0
20003,811.0
20004,817.0
20005,824.0
20006,832.0
20007,480.0
20008,489.0
20009,498.0
20010,510.0
20011,780.0
20012,788.0
20013,800.0
20014,807.0
20015,579.0
20016,588.0
20017,593.0
20018,602.0
20019,610.0
20020,616.0
20021,627.0
20022,635.0
20023,611.0
20024,618.0
20025,626.0
20026,563.0
20027,568.0
20028,577.0
20029,605.0
20030,620.0
20031,480.0
20032,489.0
20033,494.0
20034,741.0
20035,751.0
20036,757.0
20037,764.0
20038,772.0
20039,487.0
20040,496.0
20041,505.0
20042,517.0
20043,744.0
20044,754.0
20045,760.0
20046,767.0
20047,775.0
20048,493.0
20049,502.0
20050,511.0
20051,523.0
20052,495.0
20053,504.0
20054,509.0
20055,790.0
20056,797.0
20057,808.0
20058,812.0
20059,819.0
20060,652.0
20061,662.0
20062,668.0
20063,675.0
20064,683.0
20065,500.0
20066,509.0
20067,518.0
20068,530.0
20069,585.0
20070,594.0
20071,599.0
20072,608.0
20073,623.0
20074,507.0
20075,517.0
20076,523.0
20077,530.0
20078,538.0
20079,545.0
20080,697.0
20081,706.0
20082,715.0
20083,727.0
20084,742.0
20085,877.0
20086,889.0
20087,897.0
20088,908.0
20089,569.0
20090,574.0
20091,583.0
20092,598.0
20093,710.0
20094,718.0
20095,730.0
20096,737.0
20097,580.0
20098,595.0
20099,607.0
20100,616.0
20101,928.0
20102,934.0
20103,945.0
20104,953.0
20105,965.0
20106,972.0
20107,542.0
20108,551.0
20109,556.0
20110,865.0
20111,876.0
20112,883.0
20113,895.0
20114,903.0
20115,914.0
20116,565.0
20117,573.0
20118,584.0
20119,527.0
20120,537.0
20121,543.0
20122,550.0
20123,558.0
20124,565.0
20125,577.0
20126,585.0
20127,596.0
20128,704.0
20129,713.0
20130,722.0
20131,734.0
20132,749.0
20133,563.0
20134,572.0
20135,577.0
20136,586.0
20137,601.0
20138,613.0
20139,622.0
20140,520.0
20141,529.0
20142,538.0
20143,550.0
20144,565.0
20145,574.0
20146,579.0
20147,520.0
20148,530.0
20149,536.0
20150,543.0
20151,551.0
20152,558.0
20153,570.0
20154,703.0
20155,710.0
20156,721.0
20157,725.0
20158,732.0
20159,545.0
20160,554.0
20161,559.0
20162,642.0
20163,651.0
20164,660.0
20165,672.0
20166,687.0
20167,696.0
20168,701.0
20169,592.0
20170,602.0
20171,608.0
20172,615.0
20173,623.0
20174,630.0
20175,642.0
20176,691.0
20177,700.0
20178,709.0
20179,721.0
20180,736.0
20181,745.0
20182,750.0
20183,714.0
20184,724.0
20185,730.0
20186,737.0
20187,745.0
20188,752.0
20189,764.0
20190,694.0
20191,703.0
20192,712.0
20193,724.0
20194,739.0
20195,748.0
20196,753.0
20197,582.0
20198,587.0
20199,596.0
20200,611.0
20201,623.0
20202,632.0
20203,607.0
20204,613.0
20205,624.0
20206,632.0
20207,644.0
20208,651.0
20209,662.0
20210,666.0
20211,673.0
20212,576.0
20213,585.0
20214,590.0
20215,599.0
20216,614.0
20217,626.0
20218,635.0
20219,540.0
20220,547.0
20221,555.0
20222,562.0
20223,574.0
20224,582.0
20225,593.0
20226,548.0
20227,557.0
20228,562.0
20229,698.0
20230,705.0
20231,716.0
20232,720.0
20233,727.0
20234,592.0
20235,607.0
20236,619.0
20237,628.0
20238,586.0
20239,594.0
20240,606.0
20241,613.0
20242,624.0
20243,628.0
20244,635.0
20245,836.0
20246,846.0
20247,852.0
20248,859.0
20249,867.0
20250,874.0
20251,886.0
