SrNum,Time,Type,Dir,PatNum,From,To,DRDa,DRDd,VRa,VRd,BSRa,BSRd,BYRa,BYRd,BVIa,BVId,GMNa,GMNd,ADHa,ADHd,BAa,BAd,DDRa,DDRd,MCTa,MCTd,CCGa,CCGd,Optimized_Start_Time
2,480,slow,UP,PAT042,VR,ADH,,,,480.0,490.0,490.0,496.0,496.0,503.0,503.0,511.0,511.0,518.0,,,,,,,,,,480.0
10,480,fast,UP,PAT058,ADH,CCG,,,,,,,,,,,,,,480.0,489.0,489.0,494.0,494.0,,,503.0,,480.0
7,480,slow,UP,PAT071,BYR,ADH,,,,,,,,483.0,490.0,490.0,498.0,498.0,505.0,,,,,,,,,,483.0
3,480,fast,UP,PAT065,VR,ADH,,,,484.0,493.0,493.0,502.0,502.0,514.0,514.0,,,529.0,,,,,,,,,,484.0
11,487,slow,UP,PAT042,VR,ADH,,,,490.0,500.0,500.0,506.0,506.0,513.0,513.0,521.0,521.0,528.0,,,,,,,,,,490.0
12,487,fast,UP,PAT065,VR,ADH,,,,494.0,503.0,503.0,512.0,512.0,524.0,524.0,,,539.0,,,,,,,,,,494.0
15,495,fast,UP,PAT058,ADH,CCG,,,,,,,,,,,,,,495.0,504.0,504.0,509.0,509.0,,,518.0,,495.0
13,493,slow,UP,PAT042,VR,ADH,,,,500.0,510.0,510.0,516.0,516.0,523.0,523.0,531.0,531.0,538.0,,,,,,,,,,500.0
14,493,fast,UP,PAT065,VR,ADH,,,,504.0,513.0,513.0,522.0,522.0,534.0,534.0,,,549.0,,,,,,,,,,504.0
20,507,slow,UP,PAT027,VR,BA,,,,507.0,517.0,517.0,523.0,523.0,530.0,530.0,538.0,538.0,545.0,545.0,557.0,,,,,,,,507.0
21,507,fast,UP,PAT045,VR,BA,,,,507.0,516.0,516.0,525.0,525.0,537.0,537.0,,,552.0,552.0,561.0,,,,,,,,507.0
29,510,slow,UP,PAT061,BA,CCG,,,,,,,,,,,,,,,,510.0,518.0,518.0,529.0,529.0,535.0,,510.0
22,510,slow,UP,PAT059,ADH,CCG,,,,,,,,,,,,,,510.0,522.0,522.0,530.0,530.0,541.0,541.0,547.0,,510.0
27,510,fast,UP,PAT058,ADH,CCG,,,,,,,,,,,,,,510.0,519.0,519.0,524.0,524.0,,,533.0,,510.0
17,500,slow,UP,PAT042,VR,ADH,,,,510.0,520.0,520.0,526.0,526.0,533.0,533.0,541.0,541.0,548.0,,,,,,,,,,510.0
18,500,fast,UP,PAT065,VR,ADH,,,,514.0,523.0,523.0,532.0,532.0,544.0,544.0,,,559.0,,,,,,,,,,514.0
28,510,slow,UP,PAT053,BVI,CCG,,,,,,,,,,516.0,527.0,527.0,534.0,534.0,546.0,546.0,554.0,554.0,565.0,565.0,571.0,,516.0
33,520,fast,UP,PAT054,VR,CCG,,,,520.0,529.0,529.0,538.0,538.0,550.0,550.0,,,565.0,565.0,574.0,574.0,579.0,579.0,,,588.0,,520.0
34,520,slow,UP,PAT015,VR,DDR,,,,520.0,530.0,530.0,536.0,536.0,543.0,543.0,551.0,551.0,558.0,558.0,570.0,570.0,578.0,,,,,,520.0
36,525,fast,UP,PAT058,ADH,CCG,,,,,,,,,,,,,,525.0,534.0,534.0,539.0,539.0,,,548.0,,525.0
30,513,slow,UP,PAT055,VR,CCG,,,,528.0,538.0,538.0,544.0,544.0,551.0,551.0,559.0,559.0,566.0,566.0,578.0,578.0,586.0,586.0,597.0,597.0,603.0,,528.0
31,513,fast,UP,PAT045,VR,BA,,,,532.0,541.0,541.0,550.0,550.0,562.0,562.0,,,577.0,577.0,586.0,,,,,,,,532.0
38,527,slow,UP,PAT015,VR,DDR,,,,538.0,548.0,548.0,554.0,554.0,561.0,561.0,569.0,569.0,576.0,576.0,588.0,588.0,596.0,,,,,,538.0
37,527,fast,UP,PAT054,VR,CCG,,,,539.0,548.0,548.0,557.0,557.0,569.0,569.0,,,584.0,584.0,593.0,593.0,598.0,598.0,,,607.0,,539.0
46,540,fast,UP,PAT058,ADH,CCG,,,,,,,,,,,,,,540.0,549.0,549.0,554.0,554.0,,,563.0,,540.0
40,533,slow,UP,PAT015,VR,DDR,,,,548.0,558.0,558.0,564.0,564.0,571.0,571.0,579.0,579.0,586.0,586.0,598.0,598.0,606.0,,,,,,548.0
39,533,fast,UP,PAT054,VR,CCG,,,,549.0,558.0,558.0,567.0,567.0,579.0,579.0,,,594.0,594.0,603.0,603.0,608.0,608.0,,,617.0,,549.0
50,540,slow,UP,PAT015,VR,DDR,,,,558.0,568.0,568.0,574.0,574.0,581.0,581.0,589.0,589.0,596.0,596.0,608.0,608.0,616.0,,,,,,558.0
41,540,fast,UP,PAT054,VR,CCG,,,,559.0,568.0,568.0,577.0,577.0,589.0,589.0,,,604.0,604.0,613.0,613.0,618.0,618.0,,,627.0,,559.0
45,540,slow,UP,PAT057,BYR,CCG,,,,,,,,559.0,566.0,566.0,574.0,574.0,581.0,581.0,593.0,593.0,601.0,601.0,612.0,612.0,618.0,,559.0
